gen	arc	test_reward
4	0-3-k3|0-3-k3|11-21-k7|7-14-k3|19-27-k3|15-29-k5|17-24-k3	0.721025575645508
4	0-3-k3|0-3-k3|15-24-k7|10-21-k5|20-32-k5|20-34-k7|3-10-k1	0.7435295437042159
4	0-3-k3|0-3-k3|4-19-k1|7-20-k5|17-26-k3|19-32-k7|17-22-k7	0.7665359636847212
4	0-3-k3|0-3-k3|4-15-k1|6-16-k3|15-30-k5|18-27-k5|7-14-k5	0.7530076241831735
4	0-3-k3|0-3-k3|4-18-k7|6-17-k3|18-28-k5|15-24-k5|8-18-k3	0.7608946751317053
4	0-3-k3|0-3-k3|8-18-k5|14-29-k3|14-23-k5|15-21-k7|13-23-k1	0.7097090981668172
4	0-3-k3|0-3-k3|13-24-k5|3-9-k1|19-34-k5|18-28-k5|17-28-k5	0.6929024197408525
4	0-3-k3|0-3-k3|10-21-k5|10-21-k3|15-26-k3|12-22-k7|9-18-k1	0.6901692491172221
4	0-3-k3|0-3-k3|8-19-k3|9-18-k1|15-24-k1|12-27-k7|17-24-k5	0.7366341443847509
4	0-3-k3|0-3-k3|5-18-k5|8-19-k1|19-28-k3|18-30-k5|17-21-k1	0.7801519105442176
5	0-3-k3|0-3-k3|14-25-k3|8-19-k1|19-33-k5|19-28-k7|16-23-k7	0.6819314984153899
5	0-3-k3|0-3-k3|15-24-k5|13-24-k5|20-34-k5|12-21-k5|8-16-k7	0.7186301127856136
5	0-3-k3|0-3-k3|15-28-k5|8-22-k5|20-35-k3|10-21-k5|7-12-k5	0.69945813054604
5	0-3-k3|0-3-k3|5-13-k1|13-22-k1|13-25-k5|15-25-k5|3-11-k1	0.7391379416826668
5	0-3-k3|0-3-k3|11-26-k5|5-16-k3|12-25-k3|20-29-k5|13-21-k5	0.754056723993598
5	0-3-k3|0-3-k3|5-16-k3|11-21-k5|13-22-k5|10-24-k5|2-13-k1	0.7459036847573208
5	0-3-k3|0-3-k3|10-18-k7|6-12-k5|20-33-k5|18-32-k3|14-23-k1	0.7447258546568056
5	0-3-k3|0-3-k3|8-17-k1|5-18-k5|11-25-k5|12-17-k7|17-25-k1	0.6131573785127177
5	0-3-k3|0-3-k3|4-15-k1|9-20-k1|19-28-k5|16-26-k3|17-25-k1	0.6940540022945227
5	0-3-k3|0-3-k3|6-17-k7|11-22-k3|20-31-k1|19-31-k7|14-17-k7	0.7373663141088053
6	0-3-k3|0-3-k3|4-19-k7|11-17-k3|15-26-k3|11-25-k7|17-21-k5	0.8017281299589963
6	0-3-k3|0-3-k3|12-27-k5|10-23-k1|17-26-k1|20-25-k5|8-12-k3	0.6992569665108168
6	0-3-k3|0-3-k3|5-17-k5|10-25-k3|15-23-k5|16-24-k5|12-20-k5	0.7839825766765621
6	0-3-k3|0-3-k3|4-16-k5|7-16-k3|13-28-k5|12-26-k5|8-22-k5	0.7689430455249417
6	0-3-k3|0-3-k3|11-26-k5|15-30-k3|20-32-k3|18-27-k7|8-10-k1	0.6901093947945253
6	0-3-k3|0-3-k3|5-14-k1|3-14-k3|17-24-k3|11-17-k5|17-24-k1	0.6338228687556482
6	0-3-k3|0-3-k3|14-23-k5|6-21-k5|20-27-k3|15-24-k5|4-13-k5	0.7779252772130796
6	0-3-k3|0-3-k3|14-22-k1|10-18-k1|20-35-k3|13-28-k7|17-25-k1	0.7069439932869973
6	0-3-k3|0-3-k3|7-16-k5|7-16-k3|15-27-k3|16-25-k7|5-13-k1	0.738292739249213
6	0-3-k3|0-3-k3|7-17-k7|11-18-k5|15-24-k3|12-22-k7|6-14-k3	0.6993258944958226
7	0-3-k3|0-3-k3|4-12-k7|3-12-k3|20-28-k5|11-16-k7|3-11-k5	0.7090969618073893
7	0-3-k3|0-3-k3|11-20-k7|6-15-k3|15-30-k5|15-29-k1|17-24-k1	0.7238780134179998
7	0-3-k3|0-3-k3|14-29-k5|10-21-k1|18-31-k5|10-22-k7|6-13-k1	0.7039959600149004
7	0-3-k3|0-3-k3|4-16-k3|11-26-k1|11-26-k5|11-18-k5|17-21-k5	0.7849723824441658
7	0-3-k3|0-3-k3|4-10-k7|6-15-k1|13-28-k3|16-24-k7|8-12-k5	0.7349745629592294
7	0-3-k3|0-3-k3|4-12-k7|11-26-k3|12-18-k3|15-25-k5|17-23-k1	0.7261792324249244
7	0-3-k3|0-3-k3|5-16-k7|3-14-k3|20-26-k3|13-25-k5|3-9-k1	0.6513148529415019
7	0-3-k3|0-3-k3|13-20-k5|13-22-k3|20-29-k3|15-29-k5|13-16-k1	0.6350286779314259
7	0-3-k3|0-3-k3|10-22-k1|15-26-k3|20-35-k5|11-20-k7|8-25-k5	0.6611264736373081
7	0-3-k3|0-3-k3|4-11-k1|11-20-k3|13-20-k5|11-25-k7|17-26-k5	0.7761839199440728
8	0-3-k3|0-3-k3|15-21-k7|10-19-k3|20-29-k5|19-34-k5|4-18-k3	0.7900582146810232
8	0-3-k3|0-3-k3|15-30-k3|3-12-k3|13-25-k1|20-30-k3|16-26-k7	0.75922865852117
8	0-3-k3|0-3-k3|7-22-k7|10-25-k3|13-18-k1|11-16-k5|4-8-k1	0.7902641276285488
8	0-3-k3|0-3-k3|11-18-k5|6-21-k7|13-24-k5|19-25-k5|12-14-k3	0.7510711685144911
8	0-3-k3|0-3-k3|6-20-k5|6-15-k1|12-27-k7|11-20-k7|10-13-k1	0.7351571900215771
8	0-3-k3|0-3-k3|13-24-k5|7-18-k7|19-34-k5|12-21-k7|6-14-k1	0.7035836184753921
8	0-3-k3|0-3-k3|4-12-k5|10-21-k3|13-28-k5|19-27-k5|17-23-k5	0.5794083554114238
8	0-3-k3|0-3-k3|10-24-k7|6-14-k5|15-29-k1|16-23-k1|4-11-k5	0.7209742563509316
8	0-3-k3|0-3-k3|6-18-k7|9-20-k1|18-30-k5|12-22-k7|8-19-k1	0.7358844800163973
8	0-3-k3|0-3-k3|4-11-k7|7-13-k5|10-16-k1|12-21-k7|8-18-k1	0.7773195824135273
9	0-3-k3|0-3-k3|4-18-k1|11-22-k3|19-33-k5|12-24-k7|10-15-k1	0.7697897184169187
9	0-3-k3|0-3-k3|4-19-k5|6-11-k5|17-26-k5|11-26-k7|17-23-k1	0.8043431384841676
9	0-3-k3|0-3-k3|10-21-k5|6-15-k1|12-20-k5|12-26-k3|8-14-k1	0.7444406469817404
9	0-3-k3|0-3-k3|5-12-k1|10-19-k3|11-17-k1|11-17-k7|8-15-k1	0.7255889389761928
9	0-3-k3|0-3-k3|13-24-k1|6-12-k1|13-22-k3|19-29-k5|5-9-k5	0.7316418026873053
9	0-3-k3|0-3-k3|11-22-k5|11-21-k3|11-23-k1|18-33-k5|17-29-k1	0.6815057515491629
9	0-3-k3|0-3-k3|15-28-k5|10-19-k1|11-21-k3|19-28-k7|10-18-k3	0.6810221412027498
9	0-3-k3|0-3-k3|5-12-k5|11-21-k3|18-29-k5|15-25-k5|15-23-k5	0.7719171909152074
9	0-3-k3|0-3-k3|9-23-k3|9-18-k3|20-26-k1|20-32-k7|10-19-k5	0.6375741559516541
9	0-3-k3|0-3-k3|11-24-k7|10-15-k1|20-33-k3|15-30-k5|2-7-k5	0.6827322105165038
10	0-3-k3|0-3-k3|13-25-k7|10-17-k5|20-31-k5|15-22-k5|8-17-k5	0.7086460790658673
10	0-3-k3|0-3-k3|15-30-k3|14-29-k1|15-29-k1|10-19-k7|8-18-k1	0.6656110554776086
10	0-3-k3|0-3-k3|4-17-k1|7-18-k3|13-20-k3|11-16-k3|17-26-k3	0.7526673824463657
10	0-3-k3|0-3-k3|11-20-k7|4-13-k3|10-22-k5|11-21-k7|0-5-k1	0.7930518282952755
10	0-3-k3|0-3-k3|4-19-k1|7-14-k1|20-31-k5|16-28-k1|1-5-k1	0.7644103925838774
10	0-3-k3|0-3-k3|4-19-k5|10-25-k5|12-23-k1|18-27-k7|3-8-k7	0.7825953132089477
10	0-3-k3|0-3-k3|6-17-k5|10-25-k1|20-32-k5|11-20-k7|14-21-k3	0.7419397338289349
10	0-3-k3|0-3-k3|5-18-k5|6-21-k5|19-28-k3|19-33-k7|13-19-k5	0.7936960212846651
10	0-3-k3|0-3-k3|11-25-k1|6-12-k3|15-23-k1|11-23-k5|16-22-k1	0.7008064596516094
10	0-3-k3|0-3-k3|15-27-k7|11-22-k3|13-18-k5|12-26-k7|7-18-k3	0.7070648854262731
11	0-3-k3|0-3-k3|6-21-k5|13-23-k1|12-20-k3|10-24-k5|12-18-k1	0.77667732201145
11	0-3-k3|0-3-k3|11-25-k5|3-11-k1|17-27-k5|12-21-k5|8-17-k5	0.7847511400052385
11	0-3-k3|0-3-k3|11-24-k1|10-25-k3|10-16-k5|16-25-k5|17-27-k5	0.6664522376135688
11	0-3-k3|0-3-k3|5-18-k7|6-21-k3|13-21-k5|18-27-k5|2-14-k1	0.7732827508157767
11	0-3-k3|0-3-k3|4-17-k5|4-19-k3|15-29-k3|12-27-k5|16-30-k5	0.7855938132529409
11	0-3-k3|0-3-k3|4-19-k7|7-12-k3|20-31-k3|18-24-k7|0-5-k1	0.8049324996459193
11	0-3-k3|0-3-k3|5-17-k3|11-22-k1|19-33-k5|11-16-k7|4-9-k1	0.7710664534572661
11	0-3-k3|0-3-k3|4-17-k1|3-12-k3|19-34-k5|18-30-k3|3-11-k1	0.7692901130315993
11	0-3-k3|0-3-k3|4-19-k1|11-20-k3|19-24-k5|20-34-k7|8-15-k5	0.7561123686489756
11	0-3-k3|0-3-k3|4-10-k3|6-21-k1|13-26-k5|10-25-k7|8-12-k1	0.7303676693462872
12	0-3-k3|0-3-k3|10-15-k5|14-25-k5|13-25-k5|20-33-k5|4-13-k1	0.7609982518768827
12	0-3-k3|0-3-k3|4-17-k5|9-24-k1|17-26-k3|11-21-k1|11-16-k1	0.7831574105283025
12	0-3-k3|0-3-k3|3-16-k3|3-14-k1|18-33-k5|11-26-k7|11-22-k5	0.8041906370422672
12	0-3-k3|0-3-k3|5-11-k5|11-25-k3|18-27-k5|11-17-k5|17-25-k1	0.6820100009674172
12	0-3-k3|0-3-k3|7-19-k1|7-16-k3|19-29-k5|16-26-k5|15-22-k1	0.7243030078317343
12	0-3-k3|0-3-k3|11-17-k5|15-30-k5|18-28-k5|11-21-k7|16-20-k1	0.6723985322920465
12	0-3-k3|0-3-k3|4-12-k5|4-18-k1|20-35-k7|12-27-k7|17-21-k5	0.7706709299454181
12	0-3-k3|0-3-k3|12-27-k1|10-21-k3|15-23-k3|11-21-k1|4-16-k1	0.6436918829131257
12	0-3-k3|0-3-k3|4-19-k7|3-12-k1|13-24-k5|18-33-k5|8-13-k7	0.8091074024651916
12	0-3-k3|0-3-k3|5-18-k7|11-22-k7|18-26-k5|11-17-k7|2-10-k1	0.7216315478431985
13	0-3-k3|0-3-k3|5-12-k5|6-15-k3|13-26-k5|18-32-k3|1-6-k5	0.7185755914162035
13	0-3-k3|0-3-k3|10-24-k5|6-17-k5|15-29-k3|11-17-k3|13-24-k1	0.7022972974985043
13	0-3-k3|0-3-k3|5-16-k5|3-14-k1|19-30-k3|12-23-k5|3-11-k5	0.7684668918337572
13	0-3-k3|0-3-k3|4-11-k7|7-18-k1|20-30-k3|15-25-k5|17-32-k1	0.7637981808873948
13	0-3-k3|0-3-k3|4-13-k5|10-21-k5|19-27-k3|11-23-k5|13-19-k7	0.7005320483570204
13	0-3-k3|0-3-k3|5-20-k3|9-19-k3|19-28-k7|19-33-k5|15-26-k1	0.7684201699979747
13	0-3-k3|0-3-k3|4-17-k5|7-18-k3|12-18-k5|18-24-k5|3-11-k7	0.8224425185052341
13	0-3-k3|0-3-k3|4-15-k5|7-16-k3|18-30-k5|18-32-k3|14-16-k1	0.7528096298683734
13	0-3-k3|0-3-k3|13-20-k5|3-18-k1|11-20-k5|11-24-k7|17-27-k5	0.7698819806254441
13	0-3-k3|0-3-k3|5-17-k5|10-18-k1|20-26-k5|12-23-k5|17-22-k1	0.7633512845416537
14	0-3-k3|0-3-k3|7-19-k7|4-19-k3|17-32-k7|14-23-k7|4-12-k1	0.770493365276944
14	0-3-k3|0-3-k3|7-16-k7|8-13-k3|12-23-k1|18-28-k7|4-9-k5	0.7777490223301033
14	0-3-k3|0-3-k3|4-13-k5|9-24-k5|10-24-k3|12-22-k5|17-28-k3	0.7835129347789414
14	0-3-k3|0-3-k3|4-16-k5|9-14-k3|19-30-k7|12-22-k7|13-18-k5	0.6352536096256075
14	0-3-k3|0-3-k3|4-15-k5|3-12-k1|13-27-k3|15-21-k1|3-12-k1	0.7657045123079946
